file,positive,total,ratio,components,areas
1.png,40302,150000,0.26868,21,"[6754, 936, 4343, 372, 415, 26, 2099, 1473, 42, 9902, 967, 163, 721, 999, 186, 214, 126, 656, 3551, 6277, 80]"
10.png,326795,1080000,0.302587962962963,6,"[303048, 15058, 1924, 1898, 4567, 300]"
1000.png,1134811,2870700,0.395308113003797,14,"[1130595, 1, 94, 2, 7, 273, 1, 124, 261, 19, 134, 76, 42, 3182]"
1001.png,329373,712932,0.4619977781892242,3,"[329367, 1, 5]"
1002.png,233644,485867,0.4808805701971939,36,"[7, 206485, 5, 2184, 2, 1, 5, 1, 1, 13, 15, 12, 131, 7, 2, 1, 21329, 2, 1, 1, 1, 1, 1, 25, 3, 37, 30, 9, 6, 1, 3278, 4, 1, 1, 5, 36]"
1003.png,470553,811200,0.5800702662721894,29,"[276528, 200, 28, 192330, 41, 2, 42, 49, 1, 26, 9, 6, 344, 5, 18, 43, 29, 18, 7, 78, 41, 61, 40, 48, 423, 56, 34, 10, 36]"
1004.png,1282342,2940000,0.43617074829931973,8,"[1276062, 3084, 857, 1355, 77, 14, 64, 829]"
1005.png,189306,263340,0.7188653451811347,33,"[187200, 16, 1, 1, 1, 1, 11, 8, 8, 2, 7, 2, 1, 1335, 5, 9, 557, 9, 5, 2, 7, 2, 4, 12, 18, 6, 13, 7, 2, 16, 2, 22, 14]"
1006.png,223977,275800,0.8120993473531545,39,"[220242, 13, 10, 8, 14, 16, 34, 5, 12, 4, 20, 18, 1510, 17, 19, 33, 401, 4, 60, 1077, 18, 14, 35, 39, 111, 8, 27, 1, 31, 7, 8, 3, 54, 8, 8, 2, 32, 2, 52]"
1007.png,206070,337500,0.6105777777777778,60,"[197857, 2, 18, 19, 28, 4, 20, 4, 3, 28, 108, 2, 2, 28, 43, 6, 15, 15, 6, 2, 7, 1, 2, 5387, 16, 1220, 24, 58, 57, 27, 26, 15, 1, 2, 228, 123, 17, 66, 3, 27, 76, 24, 48, 105, 3, 8, 66, 1, 11, 13, 3, 11, 7, 59, 3, 1, 12, 19, 35, 48]"
1008.png,27873,129600,0.21506944444444445,29,"[399, 1368, 17226, 2, 14, 2, 20, 38, 2, 24, 10, 1, 244, 55, 35, 56, 3, 3, 607, 18, 2, 1, 6, 31, 7681, 3, 4, 2, 16]"
1009.png,244790,495650,0.49387672752950673,3,"[107926, 23, 136841]"
1010.png,279809,2940000,0.09517312925170068,7,"[152910, 41452, 25993, 19773, 13188, 3024, 23469]"
1011.png,285987,540000,0.5296055555555556,3,"[170260, 112420, 3307]"
1012.png,86858,265760,0.3268287176399759,1,[86858]
1013.png,98982,223020,0.4438256658595642,5,"[81880, 487, 1350, 14998, 267]"
1014.png,139594,535824,0.2605221117381827,3,"[139295, 280, 19]"
1015.png,173498,333410,0.5203743139078012,4,"[164644, 62, 8535, 257]"
1016.png,142752,336680,0.4239990495425924,4,"[57877, 10618, 43, 74214]"
1017.png,118333,287430,0.41169328184253556,6,"[101406, 5, 16877, 37, 3, 5]"
1018.png,267816,510125,0.5250007351139426,5,"[58218, 105464, 1, 1, 104132]"
1019.png,213064,589824,0.3612331814236111,12,"[32189, 27, 7, 262, 5839, 40475, 9542, 2617, 107634, 4, 7709, 6759]"
1020.png,283129,395010,0.7167641325536063,9,"[1, 19, 43, 8, 146838, 136051, 75, 2, 92]"
1021.png,14397578,17915904,0.8036199568830018,6,"[14384081, 44, 3, 9102, 11, 4337]"
1022.png,13495,93840,0.14380861040068202,4,"[8048, 5431, 1, 15]"
1023.png,148874,228930,0.6503035862490718,40,"[3267, 15320, 11, 8, 11, 4, 61766, 90, 9, 20, 11, 3, 16, 3, 15, 7, 1, 1, 66592, 50, 3, 1, 18, 6, 1, 712, 10, 8, 1, 4, 22, 115, 3, 1, 26, 693, 4, 2, 2, 37]"
1024.png,5638801,16665000,0.338361896189619,23,"[66644, 1087, 132644, 128888, 16, 5, 102, 7320, 7723, 5286999, 1668, 368, 6, 1, 278, 1059, 467, 470, 1105, 9, 1940, 1, 1]"
1025.png,122348,359200,0.34061247216035634,16,"[3, 9, 16, 2, 60919, 4, 80, 61217, 15, 1, 4, 7, 45, 14, 2, 10]"
1026.png,148787,565000,0.26333982300884956,18,"[8, 18, 147968, 69, 22, 6, 13, 3, 21, 24, 398, 5, 9, 17, 1, 2, 7, 196]"
